UNICODE;P;D;L;V;lat;long;y_proj;x_proj
6.92.69.6720;6;92;69;6720;-16.35690058;-72.22857065;-1927607.943;2760510.104
6.92.69.6721;6;92;69;6721;-16.35701551;-72.22878682;-1927618.781;2760484.244
6.92.69.6722;6;92;69;6722;-16.35632551;-72.2294252;-1927530.329;2760420.751
6.92.69.6723;6;92;69;6723;-16.35597535;-72.22962733;-1927486.913;2760402.295
6.92.69.6724;6;92;69;6724;-16.3558836;-72.22942268;-1927478.647;2760426.564
6.92.69.6725;6;92;69;6725;-16.35579319;-72.22922275;-1927470.482;2760450.282
6.92.69.6726;6;92;69;6726;-16.35569447;-72.22902808;-1927461.282;2760473.511
6.92.69.6727;6;92;69;6727;-16.35558342;-72.2288059;-1927450.969;2760500.002
6.92.69.6728;6;92;69;6728;-16.35548718;-72.22862227;-1927441.925;2760521.952
6.92.69.6729;6;92;69;6729;-16.35538297;-72.22841366;-1927432.25;2760546.824
6.92.69.6730;6;92;69;6730;-16.35527291;-72.22821913;-1927421.72;2760570.179
6.92.69.6731;6;92;69;6731;-16.3551711;-72.2280177;-1927412.239;2760594.211
6.92.69.6732;6;92;69;6732;-16.35553497;-72.22779827;-1927457.469;2760614.45
6.92.69.6733;6;92;69;6733;-16.35564454;-72.22800096;-1927467.842;2760590.18
6.92.69.6734;6;92;69;6734;-16.35575596;-72.22821306;-1927478.319;2760564.822
6.92.69.6735;6;92;69;6735;-16.3558482;-72.22840221;-1927486.828;2760542.299
6.92.69.6736;6;92;69;6736;-16.35592736;-72.22860267;-1927493.671;2760518.661
6.92.69.6737;6;92;69;6737;-16.35602321;-72.22881777;-1927502.289;2760493.16
6.92.69.6738;6;92;69;6738;-16.35611383;-72.22901688;-1927510.489;2760469.531
6.92.69.6739;6;92;69;6739;-16.35623703;-72.22921889;-1927522.466;2760445.167
6.92.69.6740;6;92;69;6740;-16.35475578;-72.23030372;-1927336.033;2760341.131
6.92.69.6741;6;92;69;6741;-16.35437391;-72.23051371;-1927288.812;2760322.181
6.92.69.6742;6;92;69;6742;-16.3543047;-72.2303813;-1927282.312;2760338.007
6.92.69.6743;6;92;69;6743;-16.35425532;-72.23027351;-1927277.835;2760350.803
6.92.69.6744;6;92;69;6744;-16.35417499;-72.23011134;-1927270.393;2760370.129
6.92.69.6745;6;92;69;6745;-16.35407706;-72.22991328;-1927261.326;2760393.73
6.92.69.6746;6;92;69;6746;-16.35398881;-72.22970943;-1927253.46;2760417.865
6.92.69.6747;6;92;69;6747;-16.35387149;-72.22951363;-1927242.096;2760441.454
6.92.69.6748;6;92;69;6748;-16.35376195;-72.22929611;-1927231.903;2760467.399
6.92.69.6749;6;92;69;6749;-16.35366458;-72.22909593;-1927222.927;2760491.234
6.92.69.6750;6;92;69;6750;-16.35356851;-72.22890778;-1927213.957;2760513.693
6.92.69.6751;6;92;69;6751;-16.35393808;-72.22869233;-1927259.805;2760533.412
6.92.69.6752;6;92;69;6752;-16.35403414;-72.22888765;-1927268.687;2760510.144
6.92.69.6753;6;92;69;6753;-16.3541466;-72.22908785;-1927279.43;2760486.118
6.92.69.6754;6;92;69;6754;-16.35424267;-72.22929537;-1927288.165;2760461.47
6.92.69.6755;6;92;69;6755;-16.35434576;-72.22948825;-1927297.9;2760438.39
6.92.69.6756;6;92;69;6756;-16.35444885;-72.22969334;-1927307.487;2760413.929
6.92.69.6757;6;92;69;6757;-16.35455194;-72.22989843;-1927317.074;2760389.469
6.92.69.6758;6;92;69;6758;-16.35463863;-72.23008886;-1927324.919;2760366.87
6.92.69.6759;6;92;69;6759;-16.35393096;-72.23076152;-1927233.986;2760299.723
6.92.69.6760;6;92;69;6760;-16.35355703;-72.23097439;-1927187.66;2760280.349
6.92.69.6761;6;92;69;6761;-16.35345393;-72.2307747;-1927178.007;2760304.199
6.92.69.6762;6;92;69;6762;-16.35335208;-72.23057243;-1927168.53;2760328.326
6.92.69.6763;6;92;69;6763;-16.35325214;-72.23037417;-1927159.23;2760351.975
6.92.69.6764;6;92;69;6764;-16.35314067;-72.2301759;-1927148.58;2760375.769
6.92.69.6765;6;92;69;6765;-16.35305419;-72.22996763;-1927140.974;2760400.382
6.92.69.6766;6;92;69;6766;-16.35295233;-72.22977737;-1927131.352;2760423.151
6.92.69.6767;6;92;69;6767;-16.35285047;-72.22956909;-1927121.947;2760447.956
6.92.69.6768;6;92;69;6768;-16.35275245;-72.22936482;-1927112.944;2760472.261
6.92.69.6769;6;92;69;6769;-16.35307859;-72.22915143;-1927153.685;2760492.291
6.92.69.6770;6;92;69;6770;-16.35318557;-72.22936021;-1927163.682;2760467.365
6.92.69.6771;6;92;69;6771;-16.35328235;-72.22957607;-1927172.401;2760441.767
6.92.69.6772;6;92;69;6772;-16.3534046;-72.22976716;-1927184.399;2760418.649
6.92.69.6773;6;92;69;6773;-16.35351157;-72.22997063;-1927194.46;2760394.323
6.92.69.6774;6;92;69;6774;-16.35361514;-72.23015287;-1927204.379;2760372.438
6.92.69.6775;6;92;69;6775;-16.35370853;-72.23035811;-1927212.829;2760348.082
6.92.69.6776;6;92;69;6776;-16.3538121;-72.23055805;-1927222.535;2760324.198
6.92.69.6777;6;92;69;6777;-16.35321874;-72.23116848;-1927145.731;2760262.651
6.92.69.6778;6;92;69;6778;-16.35278497;-72.23116225;-1927095.048;2760268.779
6.92.69.6779;6;92;69;6779;-16.35261981;-72.23082538;-1927079.789;2760308.904
6.92.69.6780;6;92;69;6780;-16.35253724;-72.23068258;-1927071.85;2760326.071
6.92.69.6781;6;92;69;6781;-16.35243182;-72.23050499;-1927061.658;2760347.453
6.92.69.6782;6;92;69;6782;-16.35230004;-72.23024684;-1927049.355;2760378.267
6.92.69.6783;6;92;69;6783;-16.35218057;-72.22997588;-1927038.645;2760410.374
6.92.69.6784;6;92;69;6784;-16.35204879;-72.2297452;-1927026.01;2760438.085
6.92.69.6785;6;92;69;6785;-16.3523808;-72.22956145;-1927067.08;2760454.694
6.92.69.6786;6;92;69;6786;-16.35248683;-72.22976663;-1927077.01;2760430.186
6.92.69.6787;6;92;69;6787;-16.35259475;-72.22997774;-1927087.09;2760404.985
6.92.69.6788;6;92;69;6788;-16.35267995;-72.23015135;-1927094.964;2760384.304
6.92.69.6789;6;92;69;6789;-16.35278977;-72.23035851;-1927105.313;2760359.526
6.92.69.6790;6;92;69;6790;-16.35289959;-72.23056961;-1927115.615;2760334.302
6.92.69.6791;6;92;69;6791;-16.35300372;-72.2307531;-1927125.585;2760312.27
6.92.69.6792;6;92;69;6792;-16.35311164;-72.23096223;-1927135.689;2760287.293
6.92.69.6793;6;92;69;6793;-16.3521612;-72.23157887;-1927017.026;2760229.509
6.92.69.6794;6;92;69;6794;-16.35181477;-72.23180118;-1926973.804;2760208.724
6.92.69.6795;6;92;69;6795;-16.35189028;-72.23134655;-1926988.128;2760259.144
6.92.69.6796;6;92;69;6796;-16.35183558;-72.2310675;-1926985.097;2760291.355
6.92.69.6797;6;92;69;6797;-16.35177916;-72.23077017;-1926982.084;2760325.654
6.92.69.6798;6;92;69;6798;-16.35172158;-72.23049422;-1926978.677;2760357.551
6.92.69.6799;6;92;69;6799;-16.35132072;-72.23207001;-1926912.746;2760184.529
6.92.69.6800;6;92;69;6800;-16.35103242;-72.23221887;-1926877.214;2760171.315
6.92.69.6801;6;92;69;6801;-16.35086248;-72.23231546;-1926856.162;2760162.526
6.92.69.6802;6;92;69;6802;-16.35071933;-72.2323942;-1926838.461;2760155.419
6.92.69.6803;6;92;69;6803;-16.35052548;-72.232508;-1926814.403;2760144.986
6.92.69.6804;6;92;69;6804;-16.35029112;-72.23264854;-1926785.283;2760132.037
6.92.69.6805;6;92;69;6805;-16.35000685;-72.23213276;-1926758.244;2760193.864
6.92.69.6806;6;92;69;6806;-16.35026611;-72.23198318;-1926790.387;2760207.524
6.92.69.6807;6;92;69;6807;-16.35049335;-72.23183537;-1926818.762;2760221.383
6.92.69.6808;6;92;69;6808;-16.35076144;-72.23169134;-1926851.872;2760234.304
6.92.69.6809;6;92;69;6809;-16.35111703;-72.231425;-1926896.697;2760259.949
6.92.69.6810;6;92;69;6810;-16.35120961;-72.23162897;-1926905.069;2760235.746
6.92.69.6811;6;92;69;6811;-16.35128897;-72.23183571;-1926911.86;2760211.397
6.92.69.6812;6;92;69;6812;-16.35124763;-72.23079768;-1926919.553;2760329.191
6.92.69.6813;6;92;69;6813;-16.35096125;-72.230959;-1926884.094;2760314.546
6.92.69.6814;6;92;69;6814;-16.35075134;-72.23109018;-1926857.947;2760302.349
6.92.69.6815;6;92;69;6815;-16.35062256;-72.23117546;-1926841.849;2760294.325
6.92.69.6816;6;92;69;6816;-16.35044466;-72.23126787;-1926819.915;2760286.108
6.92.69.6817;6;92;69;6817;-16.35030845;-72.23135221;-1926802.958;2760278.283
