ident;lat;long;y_proj;x_proj;new_seg
1.11.21-4;-16.37659122;-71.51077577;-1938772.643;2841510.395;False
1.11.21-4;-16.37675107;-71.51106517;-1938787.777;2841475.485;False
1.11.21-4;-16.37683257;-71.5111719;-1938796.006;2841462.317;False
1.11.21-5; ; ;-1.516416327;20763369.87; 
1.11.21-5;-16.37697297;-71.51018414;-1938824.947;2841572.513;False
1.11.21-5;-16.37617781;-71.50940684;-1938741.324;2841671.051;False
1.11.21-5;-16.3759587;-71.5091424;-1938718.913;2841703.903;False
1.11.21-5;-16.37576674;-71.50926962;-1938694.757;2841691.979;False
1.11.21-5;-16.3762004;-71.50999605;-1938736.553;2841603.929;False
1.11.21-5;-16.37659735;-71.51061718;-1938775.362;2841528.301;False
1.11.21-6; ; ;-1.516416327;20763369.87; 
1.11.21-6;-16.37595577;-71.50910336;-1938719.061;2841708.369;False
1.11.21-6;-16.37537042;-71.50823031;-1938661.291;2841815.03;False
1.11.21-6;-16.37482198;-71.50743533;-1938606.875;2841912.355;False
1.11.21-6;-16.37463043;-71.50759602;-1938582.345;2841896.63;False
1.11.21-6;-16.37480083;-71.50781936;-1938599.551;2841869.075;False
1.11.21-6;-16.37574585;-71.50924038;-1938692.672;2841695.569;False
1.11.21-7; ; ;-1.516416327;20763369.87; 
1.11.21-7;-16.37530943;-71.50786396;-1938658.742;2841857.378;False
1.11.21-7;-16.37496195;-71.50738926;-1938623.9;2841915.753;False
1.11.21-7;-16.37488407;-71.50745377;-1938613.937;2841909.454;False
1.11.21-7;-16.3752272;-71.50792283;-1938648.34;2841851.774;False
1.11.21-8; ; ;-1.516416327;20763369.87; 
1.11.21-8;-16.37481361;-71.50742567;-1938606.013;2841913.56;False
1.11.21-8;-16.37436223;-71.50685753;-1938560.141;2841983.891;False
1.11.21-8;-16.37390923;-71.50624168;-1938514.68;2842059.655;False
1.11.21-8;-16.37367888;-71.50589898;-1938491.935;2842101.531;False
1.11.21-8;-16.37352453;-71.50602212;-1938472.249;2842089.579;False
1.11.21-8;-16.3734521;-71.50611371;-1938462.586;2842080.136;False
1.11.21-8;-16.37361952;-71.50645806;-1938477.917;2842038.894;False
1.11.21-8;-16.37371658;-71.50661191;-1938487.381;2842020.177;False
