"unicode","P","D","L","V","lat","long","y_proj","x_proj"
"1.18.30.6C",1,18,"30","6C",-16.4056135827216,-71.5657967051316,-1941489.00956485,2834893.13124578
"1.18.30.7A",1,18,"30","7A",-16.4058365254907,-71.5651807947288,-1941522.94084064,2834960.04534936
"1.18.30.7B",1,18,"30","7B",-16.4060964536267,-71.5647077817572,-1941559.41848688,2835010.27845646
"1.18.30.7C",1,18,"30","7C",-16.4065211470288,-71.5644135521609,-1941612.9977786,2835038.09686368
"1.18.30.7D",1,18,"30","7D",-16.4070813369399,-71.5642169637949,-1941681.26199656,2835053.0801689
"1.18.30.7E",1,18,"30","7E",-16.4066311862191,-71.5639318432005,-1941631.98184921,2835091.26927255
"1.18.31.71A",1,18,"31","71A",-16.4077986059686,-71.5867937883112,-1941481.61495996,2832484.59542067
"1.18.31.54A",1,18,"31","54A",-16.4099773484422,-71.5850716716885,-1941759.10542254,2832651.42040958
"1.18.31.55A",1,18,"31","55A",-16.4097951685499,-71.584984282371,-1941738.81049151,2832663.69782823
"1.18.31.57A",1,18,"31","57A",-16.4095259300721,-71.5848758878223,-1941708.5562821,2832679.48973415
"1.18.31.57B",1,18,"31","57B",-16.409454186582,-71.5848389155534,-1941700.59615269,2832684.61457377
"1.18.31.57C",1,18,"31","57C",-16.4093622907967,-71.584796901934,-1941690.3329025,2832690.57324153
"1.18.31.59A",1,18,"31","59A",-16.4090583896841,-71.5846784248121,-1941656.13491645,2832707.95931592
"1.18.31.59B",1,18,"31","59B",-16.4089608509256,-71.5846313695073,-1941645.27235641,2832714.56291598
"1.18.31.60A",1,18,"31","60A",-16.408743740623,-71.5845637743031,-1941620.62665164,2832725.05160461
"1.18.31.60B",1,18,"31","60B",-16.4086196010455,-71.5845326860261,-1941606.43965805,2832730.19178192
"1.18.31.61A",1,18,"31","61A",-16.4088110972027,-71.5850194444014,-1941622.80937506,2832672.5263328
"1.18.31.67A",1,18,"31","67A",-16.4098082167832,-71.5854480018976,-1941734.51444494,2832610.96781727
"1.18.31.68A",1,18,"31","68A",-16.4099714927148,-71.5859301379785,-1941747.62816819,2832554.19441156
"1.18.31.78A",1,18,"31","78A",-16.4061765133953,-71.5882047493872,-1941273.40639924,2832345.7857291
"1.18.31.79A",1,18,"31","79A",-16.4059956313318,-71.5872149120867,-1941264.6023464,2832460.33412067
"1.18.31.80A",1,18,"31","80A",-16.4059714209812,-71.5869522259487,-1941265.05992761,2832490.42376011
"1.18.31.80B",1,18,"31","80B",-16.40595749328,-71.5868397665323,-1941264.8374455,2832503.35193003
"1.18.31.80C",1,18,"31","80C",-16.4059488743713,-71.5867274529802,-1941265.23654416,2832516.19446955
"1.18.31.80D",1,18,"31","80D",-16.4059456313966,-71.5865962426307,-1941266.50438064,2832531.10892381
"1.18.31.80E",1,18,"31","80E",-16.4059330855716,-71.5864584306501,-1941266.76275247,2832546.8927647
"1.18.31.90A",1,18,"31","90A",-16.4058606590071,-71.5843409414789,-1941284.86577019,2832787.84749882
"1.18.31.91A",1,18,"31","91A",-16.4058565708215,-71.5841550532868,-1941286.72168483,2832808.97080587
"1.18.31.101A",1,18,"31","101A",-16.4055921484485,-71.5807520988826,-1941298.43789137,2833198.1365431
"1.18.31.103A",1,18,"31","103A",-16.4065777691655,-71.5801704738963,-1941421.4932367,2833251.22890955
"1.18.31.106A",1,18,"31","106A",-16.4078667497342,-71.5804440644095,-1941569.42311201,2833203.43076495
"1.18.31.112A",1,18,"31","112A",-16.4082844912693,-71.5801223426296,-1941622.52410976,2833234.45697589
"1.18.31.119A",1,18,"31","119A",-16.4062009116732,-71.5798128475164,-1941381.7329412,2833296.67380086
"1.18.31.162A",1,18,"31","162A",-16.4062765949714,-71.576385936029,-1941433.70158601,2833684.13465177
"1.18.31.165A",1,18,"31","165A",-16.4058746634957,-71.5747138284821,-1941407.52365069,2833878.90951018
"1.18.31.165B",1,18,"31","165B",-16.4061584031299,-71.5745677389916,-1941442.68208025,2833891.77320577
"1.18.31.165C",1,18,"31","165C",-16.4061616834673,-71.5747665766697,-1941440.56718243,2833869.19141832
"1.18.31.165D",1,18,"31","165D",-16.4061423290059,-71.5749315370866,-1941436.22010926,2833850.74462707
"1.18.31.166A",1,18,"31","166A",-16.405058644556,-71.5744092788312,-1941315.52187107,2833924.06127005
"1.18.31.169A",1,18,"31","169A",-16.4049171684166,-71.5732278584587,-1941313.76188741,2834059.82464838
"1.18.31.170A",1,18,"31","170A",-16.4056823183703,-71.5736170708846,-1941398.72558408,2834005.73771866
